jtc_id,is_client,name
JTC001105,0,180 Multi Family Management
JTC000324,0,1st Lake Properties
JTC000956,0,3 Points Properties
JTC000648,0,3rd Group Properties
JTC001165,0,A & G Management
JTC001106,0,A Green Property Manager
JTC000537,0,Abacus
JTC000326,0,Abbey Residential
JTC000957,0,Acco Management Co.
JTC000307,0,Accolade Property Management
JTC000808,0,Adams LaSalle Realty
JTC000308,0,Adara Communities
JTC000460,0,Adellco
JTC000504,0,Advanced Management Company
JTC000649,0,Advenir
JTC001166,0,Affinity Living Communities
JTC000485,0,Affinity Properties
JTC000001,0,AIMCO
JTC001099,0,Aion Management
JTC000325,0,AJ Dwoskin
JTC000650,0,Al Angelo Company
JTC000477,0,Alanese Organization
JTC000633,0,Alco Management
JTC000651,0,Alexander Properties
JTC000958,0,Alleghany Partners LLC
JTC000002,0,Allen
JTC000809,0,Allen Harrison Company
JTC000959,0,"Allen Rocks, Inc."
JTC000003,0,Alliance Residential
JTC000117,0,Allied Orion Group
JTC000557,0,Allmark Properties
JTC000150,0,Alpha Barnes
JTC000309,0,Altman Management Company
JTC001124,0,Alton Management
JTC001167,0,Ambassador Management
JTC000176,0,Ambling Management
JTC000806,0,American Apartment Management
JTC000006,0,American Campus Communities
JTC001125,0,American Equity Properties
JTC000311,0,American Heritage
JTC000437,0,American Realty Advisors
JTC000177,0,American Realty Investors
JTC000810,0,AMG Realty Group
JTC000652,0,Amidi Group
JTC000007,0,AMLI
JTC000505,0,AMP Residential
JTC000312,0,Andover Management Group
JTC000433,0,Annex Student Living 
JTC000313,0,Anterra Management Corp
JTC000901,0,AON Wakeforest Inc
JTC000005,0,Apartment Management Consultants
JTC000162,0,Apartment Services
JTC000624,0,Appfolio Property Manager
JTC000383,0,Applied Management
JTC000653,0,Arbor Properties
JTC001168,0,Arbour Valley Management
JTC001107,0,Arcan Capital
JTC000008,0,Archon
JTC000009,0,Archstone
JTC000654,0,Ardmore Residential
JTC000552,0,Arlie & Company
JTC000655,0,Arlington Properties
JTC000812,0,Arnel Properties
JTC000656,0,Art Craft Management
JTC000179,0,Ascension Commercial Real Estate LP
JTC000902,0,Ashford Communities
JTC001169,0,Ashton Goodman
JTC000536,1,Aspen Heights
JTC000903,0,Aspen Management USA
JTC000180,0,Aspen Square Management
JTC000010,1,Asset Campus
JTC000960,0,Asset Management & Consulting Services (AMCS)
JTC000954,0,Asset Plus
JTC000332,0,Associated Management
JTC000904,0,Atlantic Housing Management
JTC000657,0,Atlantic Pacific Management
JTC000658,0,Atlantic Realty Partners
JTC001170,0,Atlas Realty Management
JTC000659,0,Atlas Residential USA
JTC001171,0,Atria
JTC000660,0,Audubon Communities
JTC000314,0,AV Property Management
JTC000011,0,AvalonBay Communities
JTC000535,0,Avenue5
JTC000438,0,Avesta Communities
JTC001172,0,AZ 1st Realty
JTC000661,0,B & M Management
JTC001297,0,B&F Properties
JTC000644,0,Baco Realty Corporation
JTC000502,0,Bainbridge Companies
JTC000542,0,Balfour Beatty
JTC000937,0,Balke Brown Transwestern
JTC000427,0,Banner Property Management
JTC001173,0,Banta Properties
JTC000961,0,"Banyan Equity Management, LLC"
JTC000182,0,Barge Properties Management Co Ltd
JTC000508,0,Barkan Management
JTC000662,0,Baron Properties
JTC001126,0,Barratt Asset Management
JTC000905,0,Barratt Asset Management LLC
JTC000302,0,Barrett and Stokely
JTC000798,0,Barrington Group Incorporated
JTC000962,0,Barron Management
JTC000663,0,Bassham Properties
JTC000664,0,Bay Management Corp.
JTC000333,0,Bay Shore Grove
JTC000963,0,BDMGRE
JTC000379,0,Beacon Communities
JTC000429,1,BECO Asset Management
JTC000665,0,Becovic Management Group
